行,取引先ID,法人番号,取引先名,最終判定,G列の訂正指示,I列_検証結果
604,001Nn00000eVbp9,4370001005032,株式会社高速,架電可（G列訂正あり）,"G列訂正：2026年3月期・連結売上高は1,159億15百万円＝1,159.15億円〈前期比9.1%増〉、営業利益45億32百万円、10期連続増収","○ 妥当（G列訂正：2026年3月期・連結売上高は1,159億15百万円＝1,159.15億円〈前期比9.1%増〉、営業利益45億32百万円、10期連続増収。G列の1,241.91億円＝124,191百万円は実績と一致せず、2027年3月期の会社予想値の可能性が高い）：株式会社高速（東証プライム7504／仙台市／食品軽包装資材卸の業界首位・上場唯一）。通期決算発表は2026年5月8日。上場親会社のため連結採用可。いずれの値でも連結1,000億超で300億基準は大幅クリアのため架電可否は○。数値は自社IRの決算短信で確定させること。"
627,001Nn00000eVbxy,6010501010276,株式会社ノダ,架電可（G列訂正あり）,"G列訂正：2025年11月期の連結売上高は646.86億円＝64,686百万円）：株式会社ノダ（東証スタンダード7879・上場親会社）","○ 妥当（G列訂正：2025年11月期の連結売上高は646.86億円＝64,686百万円）：株式会社ノダ（東証スタンダード7879・上場親会社）。2025年11月期決算短信（2026年1月15日開示）の連結売上高64,686百万円を確認。前期2024年11月期の連結売上高67,039百万円（前期比8.5%減）および会社予想679億円とも整合し、650億円前後の規模で裏取りできた。一方でG列の447.55億円はgBizINFO/EDINETの提出会社値44,755,171千円と完全一致しており、千円単位表記＝単体財務諸表由来と考えられる。前段レビューの「通期447.55億円は算術的に成立しない／過小」という指摘は、連結の四半期累計と単体の通期を突き合わせた比較誤りであり、『単体』表記そのものは誤りでない公算が大きい（§6-4の連単取り違えではない）。上場親会社のため連結646.86億円で条件充足（§3-3）、単体447.55億円で見ても300億超のため、いずれの読みでも架電可否は○で不変。G列は最新かつ検証済みの「646.86億円（2025年11月期・連結）」への差し替えを推奨。"
630,001Nn00000eVby9,3020001020736,株式会社ソディック,架電可（G列訂正あり）,"G列訂正：連結805.72億円を併記すべき）：2025年12月期の連結売上高は805億7,200万円（自社IR事業報告書・決算短信）","○ 妥当（G列訂正：連結805.72億円を併記すべき）：2025年12月期の連結売上高は805億7,200万円（自社IR事業報告書・決算短信）。G列の単体455.04億円（gBizINFO＝EDINET有報 45,504百万円）は連結805.72億円と矛盾せず単体として整合する。東証プライム上場の親会社のため連結・単体いずれでも300億超で架電可。単体値そのものの直接再現は未達のため注記。"
631,001Nn00000eVbyE,2180001000574,株式会社進和,架電可（G列訂正あり）,G列訂正：連結861.5億円を併記すべき）：2025年8月期の連結売上高は861.5億円（前期比10.7%増）,"○ 妥当（G列訂正：連結861.5億円を併記すべき）：2025年8月期の連結売上高は861.5億円（前期比10.7%増）。G列の単体713.33億円（71,333,478千円＝713.33億円、桁検算一致）は連結861.5億円と矛盾せず単体として整合。東証・名証上場の親会社のため連結採用も可で、いずれにせよ300億を大幅超過。"
633,001Nn00000eVc2z,8060001001208,株式会社カンセキ,架電可（G列訂正あり）,G列訂正：最新期は354.70億円〈2026年2月期・非連結＝単体〉）：反証検索で第52期＝2026年2月期決算短信〔日本基準〕(非連結)（2026/4/9開示）の売上高354億70百万円・営業利益5億29百万,○ 妥当（G列訂正：最新期は354.70億円〈2026年2月期・非連結＝単体〉）：反証検索で第52期＝2026年2月期決算短信〔日本基準〕(非連結)（2026/4/9開示）の売上高354億70百万円・営業利益5億29百万円・前期比▲3.0%を取得。逆算すると前期は約365.7億円でG列の365億円（2025年2月期）と一致するが、G列は1期古い。最新期でも300億超のため架電可。東証スタンダード9903・非連結（子会社なし）で親子判定の論点なし。ただし余裕は54.7億（+18%）まで縮小し減収トレンド継続中のため、次期に基準割れの可能性がある要監視行。
637,001Nn00000eVc35,6140001000905,ＪＣＲファーマ株式会社,架電可（G列訂正あり）,"G列訂正：単体→連結）：反証検索で2026年3月期決算短信〔日本基準〕（連結・2026/5/13開示）の売上高403億1,900万円（前期比+21.9%）、営業利益5億5,500万円・経常利益11億6,500万","○ 妥当（G列訂正：単体→連結）：反証検索で2026年3月期決算短信〔日本基準〕（連結・2026/5/13開示）の売上高403億1,900万円（前期比+21.9%）、営業利益5億5,500万円・経常利益11億6,500万円（黒字転換）を独立に再現。40,319百万円＝403.19億円の桁検算も一致。よってG列の「単体」表記は誤りで正しくは「403.19億円（2026年3月期・連結）」。東証プライム上場の親会社のため§3-3により連結値で判定可。300億超で架電可。単体値は未取得だが判定に影響しない。"
642,001Nn00000eVc6r,3180001026123,株式会社種清,架電可（G列訂正あり）,G列訂正,○ 妥当（G列訂正推奨：919億円→855億円〈2025年3月期〉）：金額シード検索（「919億円」）を再度かけたが承認ソース・自社ドメインいずれからも再現できず、G列の919億円（2026年3月期）は裏付けなし。一方で第五次中期経営計画の売上高目標780億円、2023年3月期724億円、2025年3月期855億円が別経路で得られ、同社が700〜900億円規模の菓子食品卸であることは複数点で一貫する（桁誤読＝91.9億円の可能性は否定）。法人番号3180001026123一致・愛知の独立系で親子判定の論点なし。いずれの値でも300億を大幅超過のため架電可の結論は不変。
651,001Nn00000eVcCV,8140001014630,神戸トヨペット株式会社,架電可（G列訂正あり）,"G列訂正：決算期／H列出典の差し替えが必要）：反証検索で官報決算公告の第115期・売上高798億1,379万5千円を追加取得","○ 妥当（G列訂正：決算期／H列出典の差し替えが必要）：反証検索で官報決算公告の第115期・売上高798億1,379万5千円を追加取得。第115期798.14億→第120期937.27億→第121期875.49億→第122期（2026年3月期）873.37億と複数期にわたり800〜900億円台で一貫し、数値自体は堅牢。G列の「875.49億円（2025年）」は第121期＝2025年3月期の値で期表記が曖昧、最新は第122期873.37億円。300億を大幅超過で架電可。ただしH列の出典（豊岡市job-navi）は自治体運営でも就職ナビ＝求人媒体であり§3-4の禁止ソースに該当する疑いが強く、代替は官報決算公告（catr.jp）だが§7-1で承認可否が未確定。出典差し替えの要対応行。"
656,001Nn00000eVcEx,7100001013785,鍋林株式会社,架電可,G列訂正,"○ 妥当（G列要確認）：931億51百万円をシード指定して再検索したが再現せず、返るのは第97期の930.10億円（＝93,010百万円）のみ。第98期＝2026年4月期の公表値は取得できず、931.51億円＝最新期／930.1億円＝前期という整合解釈も成立するためG列訂正は行わない（自社HP会社概要の原文で確定要）。いずれでも約930億円＝基準の約3倍、鍋林グループ親会社側で判定不変。法人番号7100001013785一致。"
658,001Nn00000eVcH3,3011101001453,旭化成ホームズ株式会社,架電不可（元△判定が妥当と確認）,G列訂正：採用値は単体でなく同社連結）：出典PDFの実在を確認＝旭化成ホームズ発行「2026年3月期決算補足資料」（2026年5月12日）に連結売上高1兆343億円,"○ 妥当（G列訂正：採用値は単体でなく同社連結）：出典PDFの実在を確認＝旭化成ホームズ発行「2026年3月期決算補足資料」（2026年5月12日）に連結売上高1兆343億円。同社は旭化成の子会社のため§3-3では単体が要るが、旭化成有報第134期「関係会社の状況」に同社売上高が連結売上高の10%超と明記＝単体でも2,900億円超。建築請負4,416億も単体事業。単体基準でも300億を大幅超過し○で確定。G列には「連結」と明記のこと"
