行,取引先ID,法人番号,取引先名,元H判定,最終判定,架電可,I列_検証結果,J列_ソース
43,001Nn00000eVVmL,2330001009393,合志技研工業株式会社,×,架電不可（元×判定が妥当と確認）,×,"○ 妥当（×判定が正しい）。自社HP会社情報で株主構成が本田技研工業95.00%／三恵技研工業5.00%と明記されており、H列の「本田技研工業95%出資の子会社」は裏取りできた。同ページに決算公告PDFが期別に掲載されていることも確認（第53期＝令和8年3月期＝2026年3月期でG列の決算期と整合）。検算：16,468,582千円＝164.68582億円→164.69億円で一致、連結72,341,707千円＝723.42億円も一致。熊本日日新聞の2023年3月期記事の連結721億6,800万円とも規模が整合。子会社かつ単体164.69億円＜300億のため一律NGで×判定は正しく、G列の【300億未満】表記も仕様どおり。",https://www.goshigiken.com/about/; https://kumanichi.com/articles/1470967; https://kumanichi.com/articles/1082700
44,001Nn00000eVVmP,6040001027017,東洋合成工業株式会社,○,架電可,○,"○ 妥当。H列記載URLがそのまま「2026年3月期 決算短信〔日本基準〕(非連結) 2026年5月8日 東洋合成工業株式会社 コード番号4970」として実在することを確認。売上高は過去最高の419.5億円（前期比+9%）で、41,956百万円＝419.56億円とG列が一致。非連結（単体のみ）の上場会社で単体300億以上、○判定は正しい。",https://www.toyogosei.co.jp/news/20260508_FY2025financial_results.pdf; https://www.toyogosei.co.jp/ir/library/ca.html
45,001Nn00000eVVmU,8010401024011,株式会社博報堂,○,架電可,○,"○ 妥当（単体値は間接確認）。博報堂DYHDの2026年3月期決算（2026年5月12日開示）で連結収益8,610億3百万円・営業利益446億75百万円を確認でき、博報堂単体の収益376,728百万円＝3,767.28億円は連結の約44%で最大の事業会社として整合。子会社に対し連結ではなく単体値を採用しており§3-3/§6-4準拠、収益認識基準による「収益」表記の注記も§3-7準拠。300億以上で○判定は正しい。ただし376,728百万円という単体数値自体はEDINET有報PDFを直接参照できずWebSearchでは再確認できなかった。",https://www.nikkei.com/nkd/disclosure/tdnr/20260511523182/; https://www.nikkei.com/nkd/company/ednr/?scode=2433
46,001Nn00000eVVmX,6120001045084,ダイダン株式会社,○,架電可,○,"○ 妥当。H列記載URLがそのまま「2026年3月期 決算短信〔日本基準〕（連結）2026年5月13日 ダイダン株式会社 コード番号1980」として実在し、完成工事高（売上高）256,228百万円＝2,562.28億円、営業利益34,479百万円、経常利益35,770百万円を確認。G列の金額・決算期・連結の別すべて一致。上場親会社の連結値採用で§3-3準拠、○判定は正しい。",https://www.daidan.co.jp/wp/wp-content/uploads/2026/05/a687a801b4ae9de13699fe6845246e3c.pdf; https://www.daidan.co.jp/ir/library/financial-statements/
47,001Nn00000eVVmY,5011501002891,日本リーテック株式会社,○,架電可,○,○ 妥当 自社HP会社概要に「年商657億円〔連結：740億円〕（2026年3月期）」の記載を確認。東証プライム上場の親会社であり連結740億円の採用は§3-3に適合。単体657億円でも300億超で結論は変わらない。株式会社・承認ソース（自社HP）ともルール通りで判定○も正しい。,https://www.j-rietec.co.jp/company/outline/;https://www.j-rietec.co.jp/ir/results/
48,001Nn00000eVVma,5020001018027,千代田エクスワンエンジニアリング株式会社,○,架電可,○,"○ 妥当 2026年3月期の単体売上高937億4,724万9千円（前期比+52.43%、前期615億円）を官報決算公告ベースの記録で確認でき、G列937.47億円と一致。H列が引く千代田化工建設 第98期有報も事業年度2025/4/1〜2026/3/31・提出2026年6月18日・書類番号S100YEDHで実在を確認、決算期表記も正しい。千代田化工建設の子会社だが単体で300億超のため○判定は§3-3に適合。",https://catr.jp/companies/6c4ba/14411;https://www.nikkei.com/markets/ir/irftp/ednr/20260618/S100YEDH/20260618S100YEDH.pdf;https://cxo.chiyodacorp.com/company/about/
49,001Nn00000eVVmd,9010601041061,セイノースーパーエクスプレス株式会社,△,架電不可（元△判定が妥当と確認）,×,○ 妥当 自社HP会社案内・電子公告ページ・セイノーHD側IRを当たり直したが、承認ソースに単体売上高の記載を確認できず。ヒットするのはマイナビ（646億94百万円/2025年3月期）・Yahoo!しごとカタログ・Baseconnect・Wikipedia等の禁止ソースのみで、§3-5により確認不可＝載せないが正しい結論。H列の当たったソース列挙も具体的で監査可能。なお禁止ソース値は300億超のため、承認ソースが見つかれば○に転じ得る行として再調査候補。,https://www.seino.co.jp/ssx/company/about/;https://www.seino.co.jp/ssx/company/ir/;https://www.seino.co.jp/seino/media/pdf-lib/shd/ir-pdf/financialdata/202503yuho.pdf
50,001Nn00000eVVpM,6010601036386,アサヒグループホールディングス株式会社,○,架電可,○,"○ 妥当 2025年12月期の連結売上収益2兆8,946億円（前期比1.5%減）を自社ニュースルームおよびTDnet掲載の決算短信で確認。2,894,676百万円＝2兆8,946.76億円で桁も検算一致。IFRS「売上収益」である旨のH列注記も§3-7に適合し、判定○も正しい。",https://www.asahigroup-holdings.com/newsroom/detail/20260708-0101.html;https://www.release.tdnet.info/inbs/140120260707588934.pdf
51,001Nn00000eVVsK,3010401119377,株式会社クレストレード,△,架電不可（元△判定が妥当と確認）,×,"○ 妥当 親会社・株式会社西原商会の自社HPでグループ売上高1,390億円（2026年2月期）を確認でき、H列の記載と一致。ただしこれはグループ連結であり、クレストレードは子会社のため§3-3により使用不可。単体売上高は自社HP・gBizINFO・官報決算公告いずれにも記載を確認できず、△確認不可が正しい結論。",https://www.nishihara-shokai.co.jp/business/gaiyou/;https://www.crestrade.co.jp/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3010401119377
52,001Nn00000eVVuD,6011101016060,ニュースキンジャパン株式会社,×,架電不可（元×判定が妥当と確認）,×,○ 妥当 H列が引くNu Skin Enterprises 2025年次報告書（SEC・ef20069502_ars.pdf）の実在を確認。全社売上15億ドル（前期比14%減）で、日本市場は前期約275億円→2025年12月期260億8千万円台（前期比約5.1%減）と複数報道が整合し、260.80億円は300億未満で×判定は妥当。ただしG列の「単体」は厳密には親会社の日本市場セグメント売上であり、ニュースキンジャパン株式会社単体の決算値ではない点は注記が望ましい（判定結果には影響なし）。,https://www.sec.gov/Archives/edgar/data/1021561/000114036126013156/ef20069502_ars.pdf;https://www.nuskin.com/content/corpcom/en_US/newsroom/press_releases1/2026/nu-skin-enterprises-reports-fourth-quarter-and-full-year-2025.html
53,001Nn00000eVVuv,3130001000082,アイフル株式会社,○,架電不可（△要再確認）,×,"△ 要再確認：金額自体は正しい（2026年3月期・連結営業収益214,693百万円＝2,146.93億円を確認）。問題は親子判定で、2026年3月30日にアイフルは上場廃止、2026年4月1日付で純粋持株会社ムニノバホールディングス株式会社の完全子会社となったことをJPX新規上場申請書類・日経記事で確認。現時点のアイフルは§3-3の「子会社」に該当し、子会社に連結値を用いるのは§6-4に抵触する。単体（個別）営業収益での裏取りが必要（決算短信の個別業績・有報の提出会社経営指標を承認ソースで確認できず）。アイフル単体も300億を大きく超える可能性が高いが未確認のため、単体値の確認後に○を確定させること。",https://www.jpx.co.jp/listing/stocks/new/t13vrt000000ogm0-att/04MuninovaHoldings-1s.pdf;https://www.nikkei.com/article/DGXZQOUB166D60W5A510C2000000/;https://www.aiful.co.jp/group/ir/finance/securities.html
54,001Nn00000eVVuz,3010801000723,アルプスアルパイン株式会社,○,架電可,○,"○ 妥当 2026年3月期連結売上高1兆194億5,900万円（前期比2.9%増、売上高1兆円超は初）を新聞社記事（決算期・売上高明記、§3-4の承認ソース4）で確認。1,019,459百万円＝1兆194.59億円で複合単位の検算も一致。親会社・株式会社・連結採用いずれもルール通りで判定○は正しい。",https://www.minyu-net.com/news/detail/2026050107392649212;https://www.alpsalpine.com/j/ir/library/security/
55,001Nn00000eVVv1,2010401054443,シンフォニアテクノロジー株式会社,○,架電可,○,"○ 妥当 2026年3月期決算短信（2026年5月14日）の連結売上高1,281億9,700万円（前期比7.6%増）を確認。128,197百万円＝1,281.97億円で桁も一致し、H列記載のPDF URLも検索結果のURLと完全一致。親会社・株式会社・連結採用ともルール通りで判定○は正しい。",https://www.sinfo-t.jp/application/files/3417/7873/4198/20260514.pdf
56,001Nn00000eVVv6,2010901010581,株式会社不二工機,○,架電可,○,"○ 妥当 2026年3月期・単体の売上高457億1,400万円（前期2025年3月期は447億2百万円）を確認でき、G列457.14億円と一致。H列が引く自社HP会社概要ページの実在も確認。東証プライム上場の親会社で連結はさらに大きく、単体でも300億超のため判定○は正しい。",https://www.fujikoki.co.jp/company/about/;https://www.fujikoki.co.jp/company/
57,001Nn00000eVVvC,4010801012908,ワタミ株式会社,○,架電可,○,"○ 妥当 2026年3月期連結売上高を確認（決算短信ベースでは932億6,800万円、前期比5.1%増）。H列が引く決算説明会資料の表記が「932.6億円」であり、G列の932.60億円はその丸め表記に由来する軽微な差（正確には932.68億円）。桁・決算期・連結の別・判定○はいずれも正しく、修正は必須ではないが932.68億円と書くのがより正確。",https://www.watami.co.jp/assets/pdf/ir/202603.pdf;https://www.ryutsuu.biz/accounts/s051380.html
58,001Nn00000eVVvG,1011701002852,株式会社江東微生物研究所,△,架電不可（元△判定が妥当と確認）,×,"○ 妥当 自社HP会社概要・gBizINFOを当たり直したが売上高の記載を確認できず、△確認不可は妥当。ヒットするのはマイナビ・キャリタス就活・Baseconnect等の禁止ソースのみ（そこでの記載は207億7,000万円/2025年6月期で、仮に正しくても300億未満）。従業員数はH列の1,080名に対し禁止ソース側は1,053名（2025年7月1日）と差異があるが判定には影響しない。",https://www.koutou-biken.co.jp/about/company-profile/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1011701002852
